"name","domain","physics_carrier","spectral_range","scale_spatial","topology","density","mechanism","time_dependence","description"
"Confocal Microscopy","Health","Photon","Visible","Micro","Voxel (3D)","Scalar","Excitation","Static","3D reconstruction of cells using fluorescence."
"Synthetic Aperture Radar (SAR)","Earth & Environment","Photon","Microwave","Macro","Raster (2D)","Complex (Phase/Amp)","Active","Time-Lapse","Earth observation using radar echoes."
"Diffusion Tensor Imaging (MRI)","Health","Magnetic Field","Radio (RF)","Milli","Voxel (3D)","Tensor","Active","Static","Mapping water diffusion in brain tissue."
"Lidar","Space & Transport","Photon","Infrared","Macro","Point Cloud","Scalar","Active","Dynamic","Laser ranging for 3D topology."
"Cryo-EM","Matter","Electron","High Energy","Nano","Voxel (3D)","Scalar","Transmission","Static","Molecular structure reconstruction."
"Seismic Tomography","Earth & Environment","Acoustic","Infrasound","Kilo","Voxel (3D)","Scalar","Active","Static","Imaging subsurface rock structures."
"Event Camera","Information","Photon","Visible","Macro","Sparse Events","Vector (x,y,t,p)","Passive","Dynamic","Neuromorphic vision measuring changes only."
"Synchrotron Tomography","Matter","Photon","X-Ray","Micro","Voxel (3D)","Scalar","Transmission","Static","High-resolution 3D imaging of materials."
"Neutron Imaging","Matter","Neutron","Thermal","Milli","Raster (2D)","Scalar","Transmission","Static","Non-destructive testing using neutron beams."
"PET Scan","Health","Photon","Gamma","Milli","Voxel (3D)","Scalar","Excitation","Dynamic","Positron emission tomography."
"Optical Coherence Tomography","Health","Photon","Near-IR","Milli","Voxel (3D)","Scalar","Active","Dynamic","Cross-sectional imaging of biological tissues."
"Atomic Force Microscopy","Matter","Mechanical","n/a","Nano","Point Cloud","Scalar","Active","Static","Surface topography at atomic resolution."
"Single Molecule Localization","Health","Photon","Visible","Nano","Point Cloud","Scalar","Excitation","Static","Super-resolution microscopy breaking diffraction limit."
"Hyperspectral Imaging","Earth & Environment","Photon","Visible-IR","Macro","Voxel (3D)","Spectral","Passive","Static","Spectral imaging across hundreds of wavelengths."
"Gravitational Wave Detection","Space & Transport","Gravitational Field","n/a","Cosmic","Function/Model","Tensor","Passive","Dynamic","Detection of spacetime ripples."
"Radio Interferometry","Space & Transport","Photon","Radio","Cosmic","Function/Model","Complex (Phase/Amp)","Passive","Static","Very long baseline interferometry (VLBI)."
"Ultrasound Doppler","Health","Acoustic","Ultrasonic","Milli","Raster (2D)","Vector","Active","Dynamic","Blood flow velocity measurement."
"Electron Backscatter Diffraction","Matter","Electron","High Energy","Micro","Raster (2D)","Vector","Active","Static","Crystal orientation mapping in materials."
"Fluorescence Lifetime Imaging","Health","Photon","Visible","Micro","Raster (2D)","Scalar","Excitation","Dynamic","Fluorescence lifetime imaging."
"Connectomics","Information","Magnetic Field","Radio (RF)","Micro","Graph/Relational","Graph","Active","Static","Neural connectivity mapping."